"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-10","7.38","0.00","0.0","0.0",,"64","39",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-11","5.82","0.05","0.0","0.0",,"61","44",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-12","7.83","0.00","0.0","0.0",,"59","43",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-13","5.37","0.00","0.0","0.0",,"64","41",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-14","2.24","0.00","0.0","0.0",,"67","47",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-15","4.92","0.07","0.0","0.0",,"84","60",,"    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-16","3.80","0.01","0.0","0.0",,"77","59",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-17","3.13","0.00","0.0","0.0",,"69","55",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-18",,"0.00","0.0","0.0",,"70","54",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-19",,"0.00","0.0","0.0",,"68","53",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-20",,"0.00","0.0","0.0",,"66","49",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-21",,"0.00","0.0","0.0",,"68","46",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-22",,"0.03","0.0","0.0",,"77","54",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-23",,"0.65","0.0","0.0",,"67","55",,"    1","    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-24",,"0.00","0.0","0.0",,"67","52",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-25",,"0.00","0.0","0.0",,"71","55",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-26",,"0.00","0.0","0.0",,"78","58",,"    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-27",,"0.00","0.0","0.0",,"79","60",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-28",,"0.00","0.0","0.0",,"76","64",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-29",,"0.03","0.0","0.0",,"81","67",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-30",,"0.02","0.0","0.0",,"81","67",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-31",,"0.00","0.0","0.0",,"70","56",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-01",,"0.00","0.0","0.0",,"70","51",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-02",,"0.00","0.0","0.0",,"72","59",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-03",,"0.45","0.0","0.0",,"79","60",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-04",,"0.16","0.0","0.0",,"84","66",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-05",,"0.26","0.0","0.0",,"79","69",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-06",,"0.06","0.0","0.0",,"86","70",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-07",,"0.00","0.0","0.0",,"76","63",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-08",,"0.00","0.0","0.0",,"79","59",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-09",,"0.00","0.0","0.0",,"87","65",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-10",,"0.00","0.0","0.0",,"85","70",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-11",,"0.05","0.0","0.0",,"84","70",,"    1",,,,,
